Date,Open,High,Low,Close,index
2004-01-19,1811.55,1814.5,1754.6,1807.65,NSE/CNXMIDCAP200
2004-01-20,1819.95,1836.15,1776.0,1784.45,NSE/CNXMIDCAP200
2004-01-21,1777.7,1778.1,1652.45,1661.5,NSE/CNXMIDCAP200
2004-01-22,1669.2,1692.05,1600.6,1616.35,NSE/CNXMIDCAP200
2004-01-23,1634.85,1707.55,1623.85,1698.45,NSE/CNXMIDCAP200
2004-01-27,1716.9,1755.9,1709.45,1752.85,NSE/CNXMIDCAP200
2004-01-28,1758.35,1763.1,1709.25,1719.95,NSE/CNXMIDCAP200
2004-01-29,1722.2,1729.65,1700.6,1710.95,NSE/CNXMIDCAP200
2004-01-30,1714.4,1721.65,1659.3,1662.0,NSE/CNXMIDCAP200
2004-02-03,1667.1,1667.1,1567.5,1578.45,NSE/CNXMIDCAP200
2004-02-05,1622.2,1655.25,1616.0,1623.15,NSE/CNXMIDCAP200
2004-02-06,1629.95,1642.05,1612.95,1638.8,NSE/CNXMIDCAP200
2004-02-09,1651.6,1684.15,1651.6,1680.95,NSE/CNXMIDCAP200
2004-02-10,1685.65,1693.15,1670.1,1683.8,NSE/CNXMIDCAP200
2004-02-11,1688.3,1694.45,1680.9,1691.65,NSE/CNXMIDCAP200
2004-02-12,1697.05,1707.6,1692.85,1703.3,NSE/CNXMIDCAP200
2004-02-13,1706.5,1728.15,1700.85,1727.45,NSE/CNXMIDCAP200
2004-02-16,1734.6,1756.9,1734.6,1746.7,NSE/CNXMIDCAP200
2004-02-17,1750.65,1752.9,1740.45,1746.6,NSE/CNXMIDCAP200
2004-02-18,1753.1,1765.8,1745.2,1747.65,NSE/CNXMIDCAP200
2004-02-19,1749.95,1752.65,1698.5,1701.85,NSE/CNXMIDCAP200
2004-02-20,1697.0,1708.9,1676.25,1696.75,NSE/CNXMIDCAP200
2004-02-23,1704.75,1705.9,1658.15,1661.25,NSE/CNXMIDCAP200
2004-02-25,1664.3,1668.8,1637.25,1642.3,NSE/CNXMIDCAP200
2004-02-26,1646.25,1667.95,1629.0,1632.2,NSE/CNXMIDCAP200
2004-02-27,1636.75,1646.85,1616.9,1642.8,NSE/CNXMIDCAP200
2004-03-01,1648.85,1670.65,1648.85,1669.2,NSE/CNXMIDCAP200
2004-03-03,1674.5,1686.75,1672.25,1676.25,NSE/CNXMIDCAP200
2004-03-04,1683.45,1691.3,1666.85,1671.65,NSE/CNXMIDCAP200
2004-03-05,1679.3,1683.9,1676.1,1682.05,NSE/CNXMIDCAP200
2004-03-08,1690.05,1703.3,1690.05,1699.7,NSE/CNXMIDCAP200
2004-03-09,1701.65,1705.6,1674.75,1683.9,NSE/CNXMIDCAP200
2004-03-10,1682.55,1685.25,1670.1,1672.85,NSE/CNXMIDCAP200
2004-03-11,1672.4,1676.7,1647.65,1650.0,NSE/CNXMIDCAP200
2004-03-12,1648.65,1651.05,1626.15,1646.35,NSE/CNXMIDCAP200
2004-03-15,1650.6,1671.35,1596.45,1603.65,NSE/CNXMIDCAP200
2004-03-16,1600.35,1600.35,1558.35,1568.3,NSE/CNXMIDCAP200
2004-03-17,1576.35,1586.4,1570.8,1578.25,NSE/CNXMIDCAP200
2004-03-18,1578.35,1586.1,1553.8,1557.3,NSE/CNXMIDCAP200
2004-03-19,1560.2,1565.8,1537.25,1555.25,NSE/CNXMIDCAP200
2004-03-22,1558.15,1560.95,1500.05,1501.15,NSE/CNXMIDCAP200
2004-03-23,1498.75,1500.85,1462.65,1484.75,NSE/CNXMIDCAP200
2004-03-24,1485.3,1491.25,1475.05,1483.1,NSE/CNXMIDCAP200
2004-03-25,1487.05,1516.95,1487.05,1509.6,NSE/CNXMIDCAP200
2004-03-26,1515.3,1551.05,1515.3,1542.65,NSE/CNXMIDCAP200
2004-03-29,1550.65,1569.85,1550.65,1568.55,NSE/CNXMIDCAP200
2004-03-30,1573.55,1606.3,1573.55,1586.75,NSE/CNXMIDCAP200
2004-03-31,1590.25,1605.8,1587.5,1603.25,NSE/CNXMIDCAP200
2004-04-01,1606.35,1660.85,1606.35,1656.3,NSE/CNXMIDCAP200
2004-04-02,1665.4,1675.35,1647.85,1672.0,NSE/CNXMIDCAP200
2004-04-05,1673.8,1709.7,1673.8,1691.15,NSE/CNXMIDCAP200
2004-04-06,1698.4,1703.55,1666.7,1672.7,NSE/CNXMIDCAP200
2004-04-07,1672.15,1681.05,1662.75,1668.6,NSE/CNXMIDCAP200
2004-04-08,1667.8,1689.5,1662.85,1684.85,NSE/CNXMIDCAP200
